Format,Catalog,ScientificName,CommonName,Male,Female,Adult,Immature,Call,Song,Mechanical,Behaviors,Environmental,FX,People/Interview,ERSubtitles,FXSubtitles,PplSubtitles,Country,State,Locality,Latitude,Longitude,Captive,RecordistLast,RecordistFirst,RecordistMiddle,Year,Month,Day,Time,Length,Quality
Audio ,48244,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,Y,Y,,call;song,,,,,,,Brazil,Pará,,,,,Isler,Phyllis,R,1989,11,12,00:00,1:45,2
Audio ,48241,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,song,,,,,,,Brazil,Pará,,,,,Isler,Phyllis,R,1989,11,12,00:00,:37,2
Audio ,48230,Cercomacra tyrannina , Dusky Antbird,Y,,,,,Y,,song,,,,,,,Brazil,Pará,,,,,Isler,Phyllis,R,1989,11,11,00:00,4:54,2
Audio ,49311,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Venezuela,,,8.1666667,-61.75,,Duncan,Charles,D,1989,8,17,06:00,3:47,2
Audio ,41031,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,-1.9833333,-59.5,,Bierregaard,Richard,O,1987,11,28,00:00,2:25,2
Audio ,38858,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Bolivia,Pando,,-11.25,-68.68,,Parker,"Theodore A., III",,1986,6,12,08:15,:39,2
Audio ,45647,Thamnophilus doliatus , Barred Antshrike,,,,,,,,,,,,,,,Mexico,Tamaulipas,,23,-99.5,,Duncan,Charles,D,1988,3,31,09:30,1:03,2
Audio ,34263,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,Y,,,call,,,,,,,Peru,Loreto,,-3.23,-72.92,,Parker,"Theodore A., III",,1985,1,20,00:00,:19,2
Audio ,35399,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Peru,Loreto,,-3.5,-73,,Parker,"Theodore A., III",,1985,6,27,00:00,3:02,2
Audio ,28696,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,counter singing;song,,,,,,,Peru,Huánuco,,-9,-75,,van den Berg,Arnoud,B,1980,11,13,06:45,:54,2
Audio ,28547,Taraba major , Great Antshrike,Y,,Y,,Y,,,call;subsong,,,,,,,Ecuador,Napo,,-0.3833333,-76.6333333,,van den Berg,Arnoud,B,1981,2,19,13:45,:56,2
